id,pickup_dt,borough,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
1306,2015-01-09 07:00:00,Brooklyn,9.0,10.0,22.0,5.0,1020.4,0.0,0.0,0.0305,0.0,N
3421,2015-01-22 16:00:00,Bronx,8.0,10.0,33.0,21.0,1023.8,0.0,0.0,0.0,0.0,N
18809,2015-04-28 21:00:00,Queens,6.0,10.0,70.0,32.0,1005.8,0.0,0.0,0.17616666666666697,0.0,N
677,2015-01-05 07:00:00,Staten Island,10.0,10.0,46.0,27.0,1010.0,0.0,0.065,0.065,0.0,N
23464,2015-05-27 12:00:00,EWR,7.0,7.0,73.0,64.0,1021.7,0.0,0.0,0.0,0.0,N
25613,2015-06-09 16:00:00,Bronx,0.0,8.0,77.0,67.0,1005.1,0.0,0.0,0.01,0.0,N
23556,2015-05-28 01:00:00,Staten Island,3.0,8.0,71.0,67.0,1020.6,0.05,0.0,0.0,0.0,N
5200,2015-02-02 22:00:00,Bronx,6.0,3.6666666666666696,23.0,18.6666666666667,998.8,0.0,0.0,0.0,6.70833333333333,N
15185,2015-04-06 08:00:00,Bronx,0.0,10.0,45.0,33.0,1025.3,0.0,0.0,0.111666666666667,0.0,N
14919,2015-04-04 16:00:00,Bronx,11.0,10.0,49.0,25.0,1010.4,0.0,0.0991666666666667,0.0,0.0,N
17444,2015-04-20 09:00:00,Queens,11.0,10.0,47.0,41.0,1015.9,0.0,0.0,0.0,0.0,N
4013,2015-01-26 09:00:00,Brooklyn,5.0,10.0,26.0,6.0,1016.4,0.0,0.0,0.03,2.0,N
16099,2015-04-12 01:00:00,Manhattan,3.0,10.0,48.0,25.0,1021.1,0.0,0.03,0.0,0.0,N
10082,2015-03-05 08:00:00,Queens,4.5,4.25,35.0,32.0,1013.2,0.035,0.0,0.3883333333333329,13.0,N
18676,2015-04-28 01:00:00,EWR,11.5,10.0,57.0,31.0,1005.8,0.0,0.0,1.1125,0.0,N
21422,2015-05-15 01:00:00,Brooklyn,3.0,10.0,63.0,34.0,1025.7,0.0,0.0,0.0,0.0,N
25971,2015-06-11 20:00:00,Manhattan,5.0,6.0,89.0,66.0,1010.9,0.0,0.0983333333333333,0.255,0.0,N
21697,2015-05-16 17:00:00,Manhattan,5.0,8.0,72.0,59.0,1020.8,0.0,0.0,0.0,0.0,N
28837,2015-06-29 08:00:00,,5.0,10.0,65.0,54.0,1009.2,0.0,0.0,0.0,0.0,N
7604,2015-02-17 22:00:00,Queens,5.0,10.0,27.0,9.0,1011.1,0.0,0.0,0.005833333333333329,11.125,N
26976,2015-06-17 23:00:00,Staten Island,0.0,10.0,70.0,57.0,1019.5,0.0,0.0,0.0,0.0,N
7629,2015-02-18 02:00:00,Manhattan,3.0,10.0,26.0,8.0,1012.7,0.0,0.0,0.005833333333333329,11.625,N
2516,2015-01-16 22:00:00,Brooklyn,15.0,10.0,33.0,11.0,1014.0,0.0,0.0,0.0,0.0,N
13590,2015-03-27 06:00:00,Manhattan,6.0,10.0,43.0,38.0,1005.8,0.0,0.27,0.0,0.0,N
29051,2015-06-30 16:00:00,Queens,9.0,10.0,79.0,56.0,1014.3,0.0,0.0,0.0,0.0,N
2761,2015-01-18 11:00:00,EWR,4.0,10.0,34.5,26.0,1019.9,0.0,0.0,0.0,0.0,N
21289,2015-05-14 05:00:00,Manhattan,6.0,10.0,53.0,36.0,1025.8,0.0,0.0,0.0,0.0,N
20826,2015-05-11 08:00:00,Manhattan,5.5,8.0,71.0,66.0,1020.2,0.0,0.0,0.0,0.0,N
861,2015-01-06 11:00:00,Staten Island,0.0,10.0,19.0,-2.0,1027.7,0.0,0.0,0.0316666666666667,0.0,N
22126,2015-05-19 08:00:00,Brooklyn,1.5,3.5,59.0,56.0,1016.5,0.0,0.0,0.0,0.0,N
13965,2015-03-29 14:00:00,Brooklyn,5.0,10.0,31.0,2.0,1025.4,0.0,0.0,0.0,0.0,N
1724,2015-01-11 22:00:00,EWR,11.0,10.0,37.0,11.0,1033.7,0.0,0.0,0.0,1.0,N
21374,2015-05-14 18:00:00,EWR,0.0,10.0,71.0,27.0,1027.6,0.0,0.0,0.0,0.0,N
20361,2015-05-08 12:00:00,Manhattan,0.0,4.0,62.0,54.0,1021.3,0.0,0.0,0.0,0.0,N
12875,2015-03-22 18:00:00,Manhattan,9.0,10.0,40.0,10.0,1017.5,0.0,0.0,0.01,0.0,N
21539,2015-05-15 18:00:00,Manhattan,5.0,10.0,74.0,41.0,1024.8,0.0,0.0,0.0,0.0,N
12100,2015-03-17 22:00:00,EWR,13.0,10.0,44.0,13.0,1006.4,0.0,0.09,0.0,0.0,N
7378,2015-02-16 13:00:00,Bronx,10.0,10.0,4.0,-12.0,1022.7,0.0,0.0025,0.0,8.66666666666667,Y
1446,2015-01-10 04:00:00,Bronx,7.0,10.0,25.0,1.0,1022.4,0.0,0.0,0.0555,0.0,N
25749,2015-06-10 12:00:00,Brooklyn,0.0,10.0,69.0,56.0,1012.0,0.0,0.0,1.20333333333333,0.0,N
19590,2015-05-03 17:00:00,Manhattan,0.0,10.0,77.0,36.0,1018.4,0.0,0.0,0.0,0.0,N
20502,2015-05-09 08:00:00,,5.66666666666667,4.33333333333333,60.0,55.0,1024.1,0.0,0.0,0.0,0.0,N
26936,2015-06-17 18:00:00,Bronx,0.0,10.0,77.0,57.0,1020.1,0.0,0.0,0.0,0.0,N
6131,2015-02-08 17:00:00,Queens,11.0,3.0,36.0,30.0,1012.7,0.0,0.0,0.0,8.0,N
12413,2015-03-19 21:00:00,EWR,5.0,10.0,42.0,0.0,1024.7,0.0,0.0,0.1,0.0,N
13042,2015-03-23 20:00:00,Bronx,6.0,10.0,37.0,-1.0,1021.9,0.0,0.253333333333333,0.0,0.0,N
5981,2015-02-07 19:00:00,Bronx,0.0,9.1,34.0,19.0,1017.6,0.0,0.0,0.0,8.0,N
11941,2015-03-16 22:00:00,Brooklyn,3.0,10.0,51.0,29.0,1010.3,0.0,0.0,0.0,0.0,N
9187,2015-02-27 18:00:00,EWR,5.0,10.0,28.0,6.0,1028.7,0.0,0.0,0.0,11.0,N
16878,2015-04-16 22:00:00,Brooklyn,9.0,10.0,59.0,23.0,1027.6,0.0,0.0,0.179333333333333,0.0,N
13694,2015-03-27 21:00:00,Queens,0.0,10.0,45.0,29.0,1006.4,0.0,0.0,0.0,0.0,N
17899,2015-04-23 06:00:00,Manhattan,6.0,10.0,43.0,30.0,1005.7,0.0,0.0,0.0,0.0,N
8079,2015-02-20 21:00:00,Manhattan,5.0,10.0,19.0,-6.0,1026.3,0.0,0.0,0.0316666666666667,9.0,N
26817,2015-06-17 00:00:00,Queens,3.0,6.0,76.0,71.0,1010.9,0.0,0.26,0.0,0.0,N
11601,2015-03-14 18:00:00,Staten Island,3.0,2.25,47.0,45.5,1012.2,0.015,0.47,0.0875,1.4583333333333302,N
2474,2015-01-16 16:00:00,Bronx,7.0,9.1,37.0,18.0,1010.6,0.0,0.0,0.0,0.0,N
3227,2015-01-21 11:00:00,Brooklyn,3.0,10.0,26.0,8.0,1019.7,0.0,0.0,0.0,0.0,N
3565,2015-01-23 13:00:00,Staten Island,9.0,10.0,28.0,14.0,1027.4,0.0,0.0,0.0,0.0,N
10583,2015-03-08 10:00:00,Brooklyn,0.0,10.0,40.0,21.0,1016.5,0.0,0.0483333333333333,0.3883333333333329,17.5833333333333,N
24268,2015-06-01 10:00:00,Bronx,7.0,10.0,57.0,54.0,1019.0,0.02,0.0,0.0,0.0,N
23772,2015-05-29 09:00:00,Queens,6.0,10.0,66.0,53.0,1024.6,0.0,0.0,0.0,0.0,N
7543,2015-02-17 13:00:00,Manhattan,7.0,1.3,15.5,8.5,1013.6,0.02,0.0,0.005833333333333329,10.0,N
7005,2015-02-14 05:00:00,Brooklyn,0.0,10.0,17.0,-7.0,1020.5,0.0,0.0,0.0,8.0,N
6666,2015-02-12 02:00:00,Staten Island,0.0,10.0,29.0,15.0,1014.1,0.0,0.01,0.09,8.0,Y
25103,2015-06-06 13:00:00,Brooklyn,2.0,2.575,63.0,61.5,1011.9,0.0,0.155,0.08,0.0,N
17013,2015-04-17 17:00:00,Staten Island,8.0,8.0,62.5,54.0,1015.8,0.0,0.0,0.0,0.0,N
28353,2015-06-26 09:00:00,Staten Island,0.0,10.0,72.0,58.0,1013.1,0.0,0.0,0.1025,0.0,N
27146,2015-06-19 00:00:00,Staten Island,5.0,8.0,67.0,60.0,1014.6,0.0,0.0,0.07,0.0,N
22838,2015-05-23 16:00:00,Manhattan,5.0,10.0,60.0,22.0,1030.0,0.0,0.0,0.0,0.0,N
27337,2015-06-20 04:00:00,Manhattan,5.0,10.0,77.0,57.0,1015.8,0.0,0.0,0.0,0.0,N
1067,2015-01-07 18:00:00,Staten Island,8.0,10.0,22.0,6.0,1013.4,0.0,0.0,0.0,0.5416666666666671,N
4208,2015-01-27 15:00:00,,7.0,3.5,23.0,16.0,1005.0,0.0,0.0191666666666667,0.0191666666666667,4.5,N
23859,2015-05-29 22:00:00,Bronx,7.0,10.0,73.0,55.0,1023.4,0.0,0.0,0.0,0.0,N
13414,2015-03-26 04:00:00,Brooklyn,3.0,3.0,43.0,40.0,1020.8,0.0,0.0,0.3716666666666671,0.0,N
1297,2015-01-09 05:00:00,Staten Island,6.0,10.0,19.0,1.0,1022.9,0.0,0.0,0.0,0.0,N
3719,2015-01-24 13:00:00,Brooklyn,6.33333333333333,2.0,33.0,30.0,1002.2,0.0066666666666666706,0.0,0.0,1.0,N
1500,2015-01-10 12:00:00,Queens,9.0,10.0,17.0,-1.0,1028.7,0.0,0.0,0.07,0.29166666666666696,N
21290,2015-05-14 05:00:00,Queens,6.0,10.0,53.0,36.0,1025.8,0.0,0.0,0.0,0.0,N
18073,2015-04-24 08:00:00,Bronx,8.0,10.0,40.0,18.0,1010.5,0.0,0.0,0.0833333333333333,0.0,N
6307,2015-02-09 19:00:00,,14.0,10.0,27.0,19.0,1015.3,0.0,0.0,0.01,8.0,N
16650,2015-04-15 12:00:00,Manhattan,4.5,10.0,53.0,17.0,1021.3,0.0,0.0,0.01,0.0,N
12053,2015-03-17 15:00:00,EWR,5.0,8.0,54.0,40.0,1000.8,0.0,0.085,0.0,0.0,N
8053,2015-02-20 17:00:00,Queens,14.0,10.0,13.0,-10.0,1024.0,0.0,0.0,0.09,9.0,N
13847,2015-03-28 20:00:00,Manhattan,9.0,10.0,39.0,22.0,1010.3,0.0,0.0,0.0,0.0,N
11061,2015-03-11 10:00:00,Brooklyn,3.0,6.0,45.0,42.0,1013.0,0.0,0.0,0.0,9.95833333333333,N
20639,2015-05-10 04:00:00,Queens,1.5,2.75,61.0,57.0,1024.0,0.0,0.0,0.0,0.0,Y
9887,2015-03-04 03:00:00,Bronx,6.5,5.0,35.0,31.0,1013.8,0.09,0.295,0.0,14.083333333333302,N
18719,2015-04-28 08:00:00,Brooklyn,3.0,10.0,51.0,37.0,1006.4,0.0,0.0,0.3395,0.0,N
21770,2015-05-17 03:00:00,,2.5,5.0,67.5,64.0,1021.1,0.1,0.0,0.0,0.0,N
22475,2015-05-21 11:00:00,EWR,0.0,10.0,54.0,34.0,1016.2,0.0,0.0,0.0,0.0,N
310,2015-01-02 23:00:00,,7.0,10.0,40.0,16.0,1026.1,0.0,0.0,0.0,0.0,N
4883,2015-01-31 22:00:00,Bronx,17.0,10.0,25.0,0.0,1019.8,0.0,0.0,0.06,7.0,N
3927,2015-01-25 20:00:00,Bronx,10.0,10.0,42.0,11.0,1008.5,0.0,0.01,0.6,2.375,N
28213,2015-06-25 12:00:00,,0.0,10.0,69.0,49.0,1018.4,0.0,0.0,0.573,0.0,N
21843,2015-05-17 14:00:00,Manhattan,4.25,7.5,72.0,65.5,1021.2,0.0,0.0,0.0,0.0,N
24511,2015-06-02 22:00:00,Bronx,5.0,6.0,54.0,51.0,1020.5,0.02,0.0,0.0,0.0,N
26173,2015-06-13 01:00:00,Queens,7.0,10.0,86.0,67.0,1009.6,0.0,0.0,0.1,0.0,N
9380,2015-02-28 22:00:00,Staten Island,6.0,10.0,29.0,-1.0,1040.8,0.0,0.0,0.0,11.0,N
992,2015-01-07 07:00:00,Queens,6.0,10.0,20.0,10.0,1016.5,0.0,0.0,0.0066666666666666706,0.0833333333333333,N
2058,2015-01-14 00:00:00,Queens,7.0,10.0,19.0,4.0,1037.9,0.0,0.0,0.01,0.0,N
21040,2015-05-12 16:00:00,Brooklyn,8.0,10.0,83.0,63.0,1010.0,0.0,0.0,0.0,0.0,N
2124,2015-01-14 11:00:00,Bronx,7.0,10.0,18.0,6.0,1031.8,0.0,0.0,0.0,0.0,N
14429,2015-04-01 12:00:00,Staten Island,0.0,10.0,33.0,20.0,1016.1,0.0,0.0,0.17,0.0,N
1823,2015-01-12 13:00:00,Brooklyn,3.0,9.1,37.0,23.0,1027.1,0.0,0.0,0.01,0.666666666666667,N
4477,2015-01-29 09:00:00,Bronx,5.0,10.0,21.0,1.0,1026.0,0.0,0.0,0.01,7.66666666666667,N
4864,2015-01-31 19:00:00,EWR,6.0,10.0,25.0,-2.0,1019.0,0.0,0.005,0.06,7.0,N
7770,2015-02-18 23:00:00,EWR,7.0,10.0,28.0,15.0,1006.9,0.0,0.0,0.0,10.875,N
27424,2015-06-20 17:00:00,Brooklyn,3.0,3.0,66.0,60.0,1018.6,0.0,0.0,0.0,0.0,N
18814,2015-04-28 22:00:00,EWR,7.0,10.0,68.0,31.0,1005.7,0.0,0.0,0.138666666666667,0.0,N
6567,2015-02-11 11:00:00,Staten Island,10.0,10.0,23.0,12.0,1018.2,0.0,0.0,0.07,8.0,N
5638,2015-02-05 16:00:00,Brooklyn,9.0,10.0,29.0,9.0,1016.9,0.0,0.0,0.0,8.0,N
22367,2015-05-20 19:00:00,EWR,7.0,10.0,62.0,35.0,1012.7,0.0,0.0,0.0,0.0,N
17958,2015-04-23 15:00:00,EWR,8.0,10.0,47.0,23.0,1007.3,0.0,0.0,0.0,0.0,N
23757,2015-05-29 07:00:00,Manhattan,8.0,10.0,68.0,52.0,1024.4,0.0,0.0,0.0,0.0,N
20132,2015-05-07 02:00:00,Manhattan,0.0,10.0,61.0,41.0,1024.0,0.0,0.0,0.0,0.0,N
11965,2015-03-17 01:00:00,Staten Island,5.0,10.0,49.0,30.0,1010.1,0.0,0.055,0.0,0.0,N
6335,2015-02-10 00:00:00,EWR,18.0,10.0,27.0,18.0,1016.1,0.0,0.0,0.01,8.0,N
13076,2015-03-24 01:00:00,Brooklyn,6.0,10.0,34.0,2.0,1023.9,0.0,0.158333333333333,0.0,0.0,N
19472,2015-05-03 00:00:00,Bronx,6.0,10.0,52.0,38.0,1015.7,0.0,0.0,0.0,0.0,N
4287,2015-01-28 04:00:00,Manhattan,10.0,10.0,21.0,5.0,1009.8,0.0,0.138333333333333,0.535,7.75,N
7665,2015-02-18 08:00:00,Bronx,5.0,10.0,21.0,9.0,1013.3,0.0,0.0,0.00333333333333333,11.8125,N
10482,2015-03-07 19:00:00,EWR,10.0,10.0,35.0,12.0,1020.1,0.0,0.26,0.551666666666667,18.4166666666667,N
3058,2015-01-20 08:00:00,Staten Island,5.0,10.0,37.0,23.0,1011.0,0.0,0.0,0.255833333333333,0.0,N
12516,2015-03-20 12:00:00,Staten Island,6.0,10.0,34.0,6.0,1027.2,0.0,0.01,0.0,0.0,N
7624,2015-02-18 01:00:00,Queens,0.0,10.0,25.0,9.0,1012.5,0.0,0.0,0.005833333333333329,11.5,N
19203,2015-05-01 08:00:00,,5.0,10.0,50.0,39.0,1013.2,0.0,0.0,0.0,0.0,N
28169,2015-06-25 06:00:00,Queens,0.0,10.0,72.0,47.0,1017.2,0.0,0.0,0.563,0.0,N
14637,2015-04-02 20:00:00,Staten Island,13.0,10.0,66.0,30.0,1017.0,0.0,0.0,0.0,0.0,N
11966,2015-03-17 02:00:00,Bronx,5.0,10.0,50.0,30.0,1010.5,0.0,0.115,0.0,0.0,N
8947,2015-02-26 07:00:00,Brooklyn,8.0,10.0,29.0,5.0,1015.8,0.0,0.0,0.0,11.916666666666698,N
2298,2015-01-15 13:00:00,Queens,5.0,10.0,25.0,16.0,1021.2,0.0,0.0,0.0,0.0,N
6327,2015-02-09 23:00:00,Bronx,13.0,10.0,27.0,19.0,1015.8,0.0,0.0,0.01,8.0,N
21762,2015-05-17 02:00:00,Staten Island,5.75,3.5,67.5,64.0,1021.1,0.035,0.0,0.0,0.0,N
15272,2015-04-06 20:00:00,,8.0,10.0,61.0,35.0,1021.8,0.0,0.0,0.19333333333333302,0.0,N
24874,2015-06-05 04:00:00,Bronx,6.0,10.0,58.0,47.0,1022.9,0.0,0.0,0.0,0.0,N
6099,2015-02-08 13:00:00,Bronx,7.5,6.0,35.0,29.0,1013.6,0.0,0.0,0.0,8.0,N
10672,2015-03-08 23:00:00,Queens,7.0,10.0,46.0,19.0,1019.0,0.0,0.0,0.46083333333333293,16.5,N
464,2015-01-03 23:00:00,Bronx,4.8,2.7,36.4,33.6,1028.6,0.075,0.326666666666667,0.753,0.0,N
13035,2015-03-23 18:00:00,,8.0,10.0,35.0,4.0,1022.6,0.0,0.163333333333333,0.0,0.0,N
2512,2015-01-16 21:00:00,Queens,6.0,10.0,36.0,16.0,1012.5,0.0,0.0,0.0,0.0,N
12187,2015-03-18 11:00:00,Brooklyn,18.0,10.0,30.0,11.0,1015.5,0.0,0.0,0.115,0.0,N
19107,2015-04-30 18:00:00,EWR,8.5,10.0,65.0,38.0,1009.1,0.0,0.0,0.0,0.0,N
23684,2015-05-28 20:00:00,Staten Island,5.0,8.0,81.0,66.0,1019.8,0.0,0.0,0.0,0.0,N
12181,2015-03-18 10:00:00,Brooklyn,15.0,10.0,31.0,10.0,1014.5,0.0,0.0,0.055,0.0,N
14333,2015-03-31 22:00:00,Bronx,3.0,10.0,38.0,33.0,1007.7,0.0116666666666667,0.0,0.04,0.0,N
21432,2015-05-15 02:00:00,Staten Island,3.0,10.0,62.0,36.0,1026.2,0.0,0.0,0.0,0.0,N
15012,2015-04-05 06:00:00,Bronx,0.0,10.0,42.0,18.0,1020.9,0.0,0.0,0.0,0.0,N
2441,2015-01-16 11:00:00,Brooklyn,8.0,10.0,31.0,15.0,1010.0,0.0,0.0,0.0,0.0,N
2989,2015-01-19 22:00:00,Bronx,8.0,10.0,40.0,19.0,1010.2,0.0,0.0,1.5038333333333302,0.0,Y
8443,2015-02-23 03:00:00,Staten Island,8.0,10.0,39.0,26.0,1021.7,0.0,0.0,0.0,12.666666666666698,N
26809,2015-06-16 23:00:00,Manhattan,3.0,9.1,75.0,71.0,1010.5,0.0,0.0,0.0,0.0,N
23433,2015-05-27 07:00:00,Staten Island,6.0,10.0,72.0,61.0,1021.0,0.0,0.0,0.0,0.0,N
7157,2015-02-15 03:00:00,Staten Island,4.8,7.0,28.2,21.8,998.4,0.0,0.0,0.0,8.0,N
5744,2015-02-06 08:00:00,EWR,8.0,10.0,13.0,-2.0,1024.4,0.0,0.0,0.0,8.0,N
8180,2015-02-21 12:00:00,,5.0,10.0,17.0,-3.0,1032.8,0.0,0.0,0.0,9.0,N
13641,2015-03-27 14:00:00,Bronx,6.0,10.0,40.3333333333333,35.6666666666667,1007.7,0.0,0.0,0.0,0.0,N
