id,pickup_dt,borough,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
26112,2015-06-12 16:00:00,,6.0,9.1,82.0,60.0,1014.2,0.0,0.0,0.24,0.0,N
26896,2015-06-17 12:00:00,EWR,7.0,10.0,72.0,58.0,1018.9,0.0,0.0,0.27,0.0,N
2263,2015-01-15 08:00:00,Queens,3.0,10.0,27.0,17.0,1021.6,0.0,0.0,0.0,0.0,N
10453,2015-03-07 15:00:00,Brooklyn,7.0,9.1,24.0,7.0,1024.3,0.0,0.29,0.551666666666667,18.5833333333333,N
19043,2015-04-30 08:00:00,EWR,9.0,10.0,49.0,40.0,1006.7,0.0,0.0,0.05,0.0,N
27400,2015-06-20 13:00:00,Staten Island,9.0,10.0,67.0,52.0,1018.9,0.0,0.0,0.0,0.0,N
15573,2015-04-08 19:00:00,Brooklyn,11.0,10.0,43.0,29.0,1026.4,0.0,0.0,0.0,0.0,N
22462,2015-05-21 09:00:00,Manhattan,0.0,10.0,52.0,34.0,1015.2,0.0,0.0,0.0,0.0,N
1445,2015-01-10 03:00:00,,12.0,10.0,26.0,2.0,1022.0,0.0,0.0,0.0555,0.0,N
190,2015-01-02 05:00:00,Staten Island,10.0,10.0,37.0,17.0,1016.4,0.0,0.0,0.0,0.0,N
23927,2015-05-30 08:00:00,EWR,3.0,10.0,68.0,61.0,1022.2,0.0,0.0,0.0,0.0,N
8738,2015-02-24 23:00:00,Manhattan,10.0,10.0,22.0,2.0,1016.1,0.0,0.0,0.46916666666666706,12.0,N
13429,2015-03-26 06:00:00,Queens,0.0,4.0,42.0,39.0,1019.2,0.0,0.01,0.3683333333333329,0.0,N
3963,2015-01-26 01:00:00,Manhattan,3.0,10.0,35.0,10.0,1013.7,0.0,0.0,0.561666666666667,2.1666666666666696,N
11423,2015-03-13 16:00:00,Staten Island,8.0,10.0,41.0,0.0,1036.6,0.0,0.33,0.01,3.0833333333333304,N
20627,2015-05-10 02:00:00,,3.0,4.0,63.0,58.0,1024.8,0.0,0.0,0.0,0.0,Y
20419,2015-05-08 20:00:00,Staten Island,10.0,10.0,78.0,53.0,1019.8,0.0,0.0,0.0,0.0,N
27867,2015-06-23 10:00:00,Bronx,9.0,9.1,76.0,66.0,1013.4,0.0,0.0,0.0,0.0,N
11917,2015-03-16 18:00:00,Staten Island,7.0,10.0,45.0,22.0,1013.2,0.0,0.0,0.0,0.0,N
21732,2015-05-16 22:00:00,Manhattan,3.0,9.1,72.0,61.0,1018.8,0.0,0.0,0.0,0.0,N
25283,2015-06-07 15:00:00,Brooklyn,0.0,10.0,68.0,43.0,1022.5,0.0,0.158333333333333,0.0,0.0,N
21866,2015-05-17 17:00:00,Staten Island,5.0,10.0,82.0,63.0,1020.5,0.0,0.0,0.0,0.0,N
15307,2015-04-07 02:00:00,Brooklyn,3.0,10.0,61.0,41.0,1021.0,0.0,0.0,0.19333333333333302,0.0,N
25240,2015-06-07 09:00:00,Bronx,3.0,10.0,57.0,35.0,1020.8,0.0,0.02,0.0,0.0,N
13082,2015-03-24 02:00:00,Brooklyn,6.0,10.0,33.0,2.0,1024.3,0.0,0.118333333333333,0.0,0.0,N
3799,2015-01-25 00:00:00,,7.0,9.1,38.0,30.0,994.1,0.0,0.01,0.22833333333333303,2.375,N
